"%s days","%s Tage"
"-- Remove Coupon --","-- Remove Coupon --"
"-- Select Coupon --","-- Select Coupon --"
"Account Information","Account Information"
"Action","Action"
"Action is blocked in quote confirmation mode","Aktion ist blokkiert in Anfrage Bestätigung Status"
"Add","Add"
"Add Qty","Menge"
"Add Selected Product(s) to Advanced Quote","Add Selected Product(s) to Quote Request"
"Add new Qty","Neue Menge eingeben"
"Address","Adresse"
"Add to Cart","In den Warenkorb"
"Add to Quote","zur Preisanfrage hinzufügen"
"Adjustment Quote (%s)","Adjustment Quote (%s)"
"All items were moved to cart successfully.","Alle Produkte wurden erfolgreich in den Warenkorb gelegt"
"Are you sure?","Sind Sie sicher?"
"Assigned To","Sachbearbeiter"
"Back to My Quotes","Zurück zu meinen Anfragen"
"Be advised to enter your comments","<strong>ACHTUNG:</strong> Bemerkungen usw. werden gelöscht wenn Sie diese Seite verlassen, ohne die Preisanfrage abzusenden. Wenn Sie ein Account haben können Sie sich jetzt anmelden."
"Billing address wasn't added","Rechnungsadresse ist nicht hinzugefügt"
"Billing details","Adressdaten"
"By deleting an item, you will create a new quote request. Do you want to do this?","Ein Produkt eliminieren macht ein neue Preis Anfrage. Wollen Sie das?"
"Can't remove item","Kann Produkt nicht löschen"
"Can't update quote list","Kann Preisanfrage nicht aktualisieren"
"Cancel","Stornieren"
"Cancel Quote","Angebot löschen"
"Can not add client note request to the product.","Kann Bemerkung nicht hinzufügen an Produkt."
"Can not add customer address.","Kann Adresse nicht hinzufügen."
"Can not add one of the items to quote request.","Kann ein dieser Produkten nicht hinzufügen an Preisanfrage."
"Cannot configure product.","Cannot configure product."
"Cannot update the item.","Cannot update the item."
"Change status","Change status"
"Change to Quotation mode?","Umschalten nach Anfragemodus?"
"Checking..","Kontrollieren..."
"City","Ort"
"Comment with Product","Anmerkung zum Produkt"
"Company","Firma"
"Confirm and CheckOut","Bestätigen und weiter gehen"
"Continue","Weitergehen"
"Continue Shopping","Den Einkauf fortsetzen"
"Copy to Quotation","Zur Angebotsanfrage hinzufügen"
"Copy to Quotation?","Zur Angebotsanfrage hinzufügen"
"Cost Price","Einkaufspreis"
"Could not load Coupon Code","Could not load Coupon Code"
"Country","Land"
"Create New Quote","neue Preisanfrage anlegen"
"Create Order","Create Order"
"Created On","Created On"
"Customer's email was undefined","Customer's email was undefined"
"Customer Group","Kundengruppe"
"Customer Name","Kundenname"
"Customer email already exists. You should login <a href=%s>here</a>","Diese E-Mail Adresse besteht schon bei uns. Bitte <a href=%s">hier einloggen</a>""
"Customer not recognized for new quote","Customer not recognized for new quote"
"Date","Datum"
"Date of Proposal","Angebotsdatum"
