"%s / %s rate:",""
"%s cannot be added to the quotation in the requested quantity.",""
"%s cannot be ordered in requested quantity.",""
"%s cannot be quotated for in requested quantity.",""
"%s cannot be quotated for the requested quantity.",""
"%s is available for quotation in increments of %s only.",""
"*If you already ordered a license, you should receive your serial shortly",""
"*Ordered Cart2Quote, but no license yet? <a href="https://cart2quote.zendesk.com/entries/20199692-cfg-request-a-license-key-for-cart2quote">Request your license number.</a>",""
"* Required Fields",""
"About This Quote:",""
"Access denied",""
"Account",""
"Add Group",""
"Add Items to Cart",""
"Add to Compare",""
"Add to Wishlist",""
"Adjustment Quote",""
"Adjustment Quote (Incl. default Tax)",""
"All Websites",""
"An error occurred while saving account.",""
"Append Comments",""
"Apply",""
"Are you sure you would like to remove this item from the quote?",""
"Assigned to",""
"Auto proposal",""
"Available Shipping Methods",""
"Billing Address",""
"Billing Address is same as Shipping Address",""
"Can not add quote history.",""
"Cannot apply the coupon code.",""
"Checkout",""
"Checkout with Multiple Addresses",""
"Clear Quote",""
"Click <a href=""%s"">here</a> to continue shopping.",""
"Click to change shipping method",""
"Comment",""
"Confirmation request has been sent.",""
"Continue Trial",""
"Couldn't auto check out because one or more products are bundle products",""
"Could not create cart2quote export folder: ",""
"Could not export quotes",""
"Could not find user with email address: %s",""
"Could not recalculate Quote Price",""
"Coupon Code %s",""
"Coupon Type '%s' not supported",""
"Coupon code ""%s"" was applied.",""
"Create Quotation",""
"Currently all features of Cart2Quote are <strong>unlocked</strong> so you can experience the full power of this Magento extension.<br /><br /> In <strong>%s days</strong> this trial will end, but no worries you will still be able to use all the <strong>free features</strong> of Cart2Quote.",""
"Currently no shipping methods are available",""
"Customer email is required",""
"Customers",""
"Delete Group",""
"Delivery Options",""
"Details",""
"Disable Email Communications",""
"Disabled",""
"Discount",""
"Do not notify customer",""
"Edit item",""
"Edit products",""
"Email Order Confirmation",""
"Email to a Friend",""
"Enter Fixed Price",""
"Enter Percentage",""
"Enter Quote Reduction",""
"Enter custom price including default tax",""
"Enter new Quote Subtotal",""
"Enter your destination to get a shipping estimate.",""
"Enter your personal information to place a Quote Request.",""
"Error",""
"Excl. Tax",""
"Export",""
"Fixed Quote Total was not a valid decimal number",""
"Follow Up",""
"Follow Up Date",""
"Follow up",""
"Get Shipping Estimates",""
"Get shipping methods and rates",""
"Grand Total",""
"Grand Total (Excl. Tax)",""
"Grand Total (Excl.Tax)",""
"Grand Total (Incl. Tax)",""
