"%s days","%s days"
"%s is available for quotation in increments of %s only.","%s is available for quotation in increments of %s only."
"-- Remove Coupon --","-- Remove Coupon --"
"-- Select Coupon --","-- Select Coupon --"
"Account Information","Account Information"
"Action","Action"
"Action is blocked in quote confirmation mode","Action is blocked in Quote Request confirmation mode"
"Add","Add"
"Add Qty","Add Tier"
"Add Selected Product(s) to Advanced Quote","Add Selected Product(s) to Quote Request"
"Add new Qty","Add new Qty"
"Address","Address"
"Add to Cart","Add to Cart"
"Add to Quote","Add to Quote"
"Adjustment Quote","Adjustment Quote"
"Adjustment Quote (%s)","Adjustment Quote (%s)"
"All items were moved to cart successfully.","All items were moved to shopping Cart successfully."
"Are you sure?","Are you sure?"
"Assigned to","Assigned to"
"Back to My Quotes","Back to My Quotes"
"Be advised to enter your comments","Be advised to enter your comments, desired quantities and details only when you're done shopping. This information will be lost when leaving this screen without submitting your Request. If you have an account with us, please login first."
"Billing Address is same as Shipping Address","Billing Address is same as Shipping Address"
"Billing address wasn't added","Billing address wasn't added"
"By deleting an item, you will create a new quote request. Do you want to do this?","By deleting an item, you will create a new Quote Request. Do you want to do this?"
"Can't remove item","Can't remove item"
"Can't update quote list","Can't update Quote Request"
"Cancel","Cancel"
"Cancel Quote","Cancel Quote"
"Can not add client note request to the product.","Cannot add client note request to the product."
"Can not add customer address.","Cannot add customer address."
"Can not add one of the items to quote request.","Cannot add one of the items to the Quote Request."
"Cannot configure product.","Cannot configure product."
"Cannot update the item.","Cannot update the item."
"Change status","Change status"
"Checking..","Checking.."
"City","City"
"Comment with Product","Comment with Product"
"Company","Company"
"Confirm and CheckOut","Confirm and Checkout"
"Continue","Continue"
"Continue Shopping","Continue Shopping"
"Copy to Quotation","Copy to Quotation"
"Copy to Quotation?","Copy to Quotation?"
"Could not load Coupon Code","Could not load Coupon Code"
"Country","Country"
"Create New Quote","Create New Quote"
"Create Order","Create Order"
"Created On","Created On"
"Customer's email was undefined","Customer's email was undefined"
"Customer Group","Customer Group"
"Customer Name","Customer Name"
"Customer email already exists. You should login <a href=%s>here</a>","Customer email already exists. You should login <a href=%s>here</a>"
"Customer not recognized for new quote","Customer not recognized for new quote"
"Date","Date"
"Date of Proposal","Date of Proposal"
"Delete","Delete"
"Discount (%s)","Discount (%s)"
"Do you have a general remark with your quote request?","Do you have a general remark with this Quote Request?"
"Duplicate value entered","Duplicate value entered"
"Edit","Edit"
"Edit Quote","Edit Quote"
"Edit Request","Edit Request"
"Email","Email"
"Email Address","Email Address"
"Email already exists","Email address already exists"
"Email was sent to client","Email was sent to client"
