"%s days","%s días"
"-- Remove Coupon --","-- Remove Coupon --"
"-- Select Coupon --","-- Select Coupon --"
"Account Information","Información de cuenta"
"Action","Acción"
"Action is blocked in quote confirmation mode","La acción está bloqueada en el modo de confirmación de presupuesto"
"Add","Añadir"
"Add Qty","Añadir cantidad"
"Add Selected Product(s) to Advanced Quote","Añadir el/los producto(s) seleccionado(s) a la solicitud de presupuesto"
"Add new Qty","Añadir nueva cantidad"
"Address","Dirección"
"Add to Cart","Añadir al carrito de la compra"
"Add to Quote","Añadir al presupuesto"
"Adjustment Quote (%s)","Adjustment Quote (%s)"
"All items were moved to cart successfully.","Todos los artículos han sido movidos correctamente al carrito de la compra."
"Are you sure?","¿Está seguro?"
"Assigned to","Asignado a"
"Back to My Quotes","Volver a mis presupuestos"
"Be advised to enter your comments","Le sugerimos que introduzca su comentarios, cantidades deseadas y detalles únicamente en el momento en que esté realizando la compra. La información se perderá en el momento de salir de esta pantalla sin haber cursado su solicitud. Si usted tiene una cuenta con nosotros, por favor, acceda primero."
"Billing address wasn't added","La dirección de facturación no ha sido añadida"
"By deleting an item, you will create a new quote request. Do you want to do this?","Eliminando un artículo, generará una nueva solicitud de presupuesto. ¿Desea hacerlo?"
"Can't remove item","No se puede eliminar el artículo"
"Can't update quote list","No se puede actualizar la solicitud de presupuesto"
"Cancel","Cancelar"
"Cancel Quote","Cancelar presupuesto"
"Can not add client note request to the product.","No puede añadirse al producto la solicitud de nota de cliente."
"Can not add customer address.","No se puede añadir la dirección de cliente."
"Can not add one of the items to quote request.","No se puede añadir uno de los artículos a la solicitud de presupuesto."
"Cannot configure product.","El producto no puede configurarse."
"Cannot update the item.","El artículo no puede ser actualizado."
"Change status","Cambiar el estado"
"Checking..","Comprobando.."
"City","Ciudad"
"Comment with Product","Comentarios al producto"
"Company","Empresa"
"Confirm and CheckOut","Confirmar y salir"
"Continue","Continuar"
"Continue Shopping","Continuar con la compra"
"Copy to Quotation","Copiar al presupuesto"
"Copy to Quotation?","¿Desea copiarlo al presupuesto?"
"Could not load Coupon Code","Could not load Coupon Code"
"Country","País"
"Create New Quote","Crear nuevo presupuesto"
"Create Order","Generar pedido"
"Created On","Creado"
"Customer's email was undefined","El correo electrónico del cliente no estaba definido"
"Customer Group","Grupo del cliente"
"Customer Name","Nombre del cliente"
"Customer email already exists. You should login <a href=%s>here</a>","El e-mail de cliente ya existe. Debería acceder <a href=%s>here</a>"
"Customer not recognized for new quote","Cliente no reconocido para nuevo presupuesto"
"Date","Fecha"
"Date of Proposal","Fecha de la propuesta"
"Delete","Borrar"
"Discount (%s)","Discount (%s)"
"Do you have a general remark with your quote request?","¿Tiene algún comentario general que hacer a la solicitud de presupuesto?"
"Duplicate value entered","El valor introducido está duplicado"
"Edit","Editar"
"Edit Quote","Editar presupuesto"
"Edit Request","Edit Request"
"Email","Correo electrónico"
"Email Address","Dirección de correo electrónico"
"Email already exists","La dirección de correo electrónico ya existe"
"Email was sent to client","El correo electrónico fue enviado al cliente"
"File","Fichero"
"First Name","Nombre"
"First save this Quotation","Grabe primero este presupuesto"
"Fixed Shipping & Handling price","Precio fijo de envío y manipulación"
"For front-end visibility of this module please switch Use Cart2Quote templates to Yes or adjust your custom theme files.","Para mostrar el módulo en el front-end, cambie por favor 'Use Cart2Quote templates' a 'Sí' o modifique los ficheros de su plantilla propia."
"Item %s wasn't moved to Shopping cart","El artículo %s no ha sido movido al carrito de la compra"
"Item %s wasn't removed from Quote mode","El artículo %s no ha sido eliminado del modo de presupuesto"
"Item(s) were moved from Quote to Order mode successfully.","El/los artículo(s) ha(n) sido movido(s) correctamente del presupuesto al modo de pedido."
"Item Manager","Organizador de artículos"
"Items Manager","Organizador de artículos"
"Items Quoted","Artículos requeridos"
"Item was deleted successfully.","El artículo ha sido correctamente borrado."
"Item was moved to cart successfully.","El artículo ha sido correctamente movido al carrito de la compra."
"Item was moved to quote successfully.","El artículo ha sido correctamente movido al presupuesto."
"Last Name","Apellido"
"Linked Orders","Pedidos enlazados"
"Linked Quote Request","Solicitud de presupuesto enlazada "
"Minimum of one Qty is required","Se requiere una cantidad mínima"
"Move to Shopping cart","Mover al carrito de la compra"
"My Quote","Mi presupuesto"
"My Quote (%s item)","Mi presupuesto (%s item)"
"My Quote (%s items)","Mi presupuesto (%s items)"
"My Quotes","Mis presupuestos"
"No Items to display.","No hay artículos para mostrar."
"No item in quote.","No existen artículos en el presupuesto."
"Original Price","Precio original"
"Per Item","Precio por artículos"
"Please select required qty and check out online to see applicable price.","Por favor, seleccione la cantidad requerida y realice el pago online para ver el precio aplicable."
"Please specify product quantity.","Por favor, especifique la cantidad del producto."
"Price","Precio"
