"%s days","%s jours"
"-- Remove Coupon --","-- Remove Coupon --"
"-- Select Coupon --","-- Select Coupon --"
"Account Information","Information Compte"
"Action","Action"
"Action is blocked in quote confirmation mode","Action bloqué dans mode de confirmation de devis"
"Add","Add"
"Add Qty","Ajouter qté."
"Add Selected Product(s) to Advanced Quote","Add Selected Product(s) to Quote Request"
"Add new Qty","Add new Qty"
"Address","Adresse"
"Add to Cart","Ajouter au panier"
"Add to Quote","Ajouter à ma sélection"
"Adjustment Quote (%s)","Adjustment Quote (%s)"
"All items were moved to cart successfully.","Tous les produits ont été ajouté au panier."
"Are you sure?","Are you sure?"
"Back to My Quotes","Retour à mes devis"
"Be advised to enter your comments","Be advised to enter your comments, desired quantities and details only when you're done shopping. This information will be lost when leaving this screen without submitting your Request. If you have an account with us, please login first."
"Billing address wasn't added","Adresse de facturation pas renseignée"
"By deleting an item, you will create a new quote request. Do you want to do this?","Si vous supprimez un article vous allez générer une nouvelle demande de devis. Voulez-vous continuer?"
"Can't remove item","Impossible de supprimer l'article"
"Can't update quote list","Impossible de mettre à jour la liste"
"Cancel","Annuler"
"Cancel Quote","Cancel Quote"
"Can not add client note request to the product.","Impossible d'ajouter la note"
"Can not add customer address.","Impossible d'ajouter l'adresse client"
"Can not add one of the items to quote request.","Impossible d'ajouter un des articles à la demande de devis."
"Cannot configure product.","Impossible de configurer le produit."
"Cannot update the item.","Impossible de mettre à jour l'article."
"Change status","Change status"
"Change to Quotation mode?","Changer en mode devis ?"
"Checking..","Contrôle..."
"City","Ville"
"Comment with Product","Comment with Product"
"Company","Société"
"Confirm and CheckOut","Confirmer et aller à la caisse"
"Continue","Continuer"
"Continue Shopping","Continuer mes achats"
"Copy to Quotation","Copy to Quotation"
"Copy to Quotation?","Copy to Quotation?"
"Could not load Coupon Code","Could not load Coupon Code"
"Country","Pays"
"Create New Quote","Create New Quote"
"Create Order","Create Order"
"Created On","Created On"
"Customer's email was undefined","Customer's email was undefined"
"Customer Group","Customer Group"
"Customer Name","Customer Name"
"Customer email already exists. You should login <a href=%s>here</a>","Adresse email déjà existante. Veuillez vous <a href=%s>connecter</a>"
"Customer not recognized for new quote","Customer not recognized for new quote"
"Date","Date"
"Date of Proposal","Date de la proposel"
"Delete","Delete"
"Discount (%s)","Discount (%s)"
"Do you have a general remark with your quote request?","Avez vous une remarque générale pour cette demande de devis ?"
"Duplicate value entered","Duplicate value entered"
"Edit","éditer"
"Edit Quote","Editer Devis"
"Edit Request","Editer Devis"
"Email","Email"
"Email Address","Adresse email"
"Email already exists","Adresse email existe déjà"
"Email was sent to client","Email was sent to client"
"File","File"
"First Name","Prénom"
"First save this Quotation","First save this Quotation"
"Fixed Shipping & Handling price","Fixed Shipping & Handling price"
"For front-end visibility of this module please switch Use Cart2Quote templates to Yes or adjust your custom theme files.","For front-end visibility of this module please switch 'Use Cart2Quote templates' to 'Yes' or adjust your custom theme files."
"Item %s wasn't moved to Shopping cart","Article %s n'a pas été bougé au panier"
"Item %s wasn't removed from Quote mode","Article %s n'a pas été retiré du mode de devis"
"Item(s) were moved from Quote to Order mode successfully.","Article(s) ont été bougé(s) du devis au panier avec succès."
"Item Manager","Item Manager"
"Items Manager","Items Manager"
"Items Quoted","Articles demandés"
"Item was deleted successfully.","Article supprimé."
"Item was moved to cart successfully.","Article a bien été ajouté au panier."
"Item was moved to quote successfully.","Article placé dans demande de devis."
"Last Name","Nom"
"Minimum of one Qty is required","Minimum of one Qty is required"
"Move to Shopping cart","Move to Shopping cart"
"My Quote","My Quote"
"My Quote (%s item)","My Quote (%s item)"
"My Quote (%s items)","My Quote (%s items)"
"My Quotes","Mes devis"
"No Items to display.","Pas de lignes à afficher."
"No item in quote.","Pas de demandes dans la liste des demandes de devis."
"Original Price","Prix original"
"Per Item","Price per Item"
"Please select required qty and check out online to see applicable price.","Veuillez sélectionner la quantité souhaitée et regarder en ligne pour être informé sur le prix exacte."
"Please specify product quantity.","Veuillez indiquer la quantité."
"Price","Price"
"Price Proposal","Propose de prix"
"Price_proposal_%s","Price_proposal_%s"
"Print Quote","Imprimer devis"
"Product","Product"
"Product %s successfully added to Quote Request","Article %s bien ajouté à la demande de devis"
"Product Information","Product Information"
"Product Name","Nom du produit"
"Product name","Product name"
"Proposal Valid Until: %s","Devis valable jusqu'à : %s"
"Proposal valid until","Devis valable jusqu'à"
"QTY","QTY"
"Qquote cancel email was't sent to admin for quote #%s","L'email pour annuler le devis n'a pas été envoyé pour la demande de devis #%s"
"Qquote proposal email was't sent to the client for quote #%s","L'email de devis n'a pas été envoyé au client pour la demande de devis #%s"
"Qquote request email was't sent to admin for quote #%s","L'email pour demande de devis n'a pas été envoyé pour demande de devis #%s"
"Qty","Qté"
"Quotation #%s - Proposal","Demande de devis #%s"
"Quotation #%s was rejected","Devis #%s a été refusé."
"Quotation Date: %s","Date de demande de devis: %s"
"Quotations","Quotations"
"Quote","Demande de devis"
"Quote #","Devis #"
"Quote # %s | Quote Date %s","Quote Request # %s | Quote Request Date %s"
"Quote Proposal","Propose de devis"
"Quote Request in Process, wait for price proposal Shop owner","Merci pour votre intérêt, nous traitons votre demande de prix dans les plus brefs délais."
"Quote Status","Etat de la demande de devis"
"Quote item is not found.","product n'est pas trouvée."
"Quote list was updated successfully.","Liste des devis a été mise à jour avec succès."
"Quote profit","Quote profit"
"Quote request","Quote Request"
"Quote subtotal (%s)","Quote subtotal (%s)"
"Quote view","Quote view"
"Quote was successfully canceled","Quote Request was successfully canceled"
"Quote was successfully saved","Quote Request was successfully saved"
"RFQ From","RFQ From"
"Reject Proposal","Refuser la propose"
"Remark with Proposal","Remarque sur la propose"
"Remove","Supprimer"
"Remove item","Supprimer l'article"
"Request a shipping quote","Demandez un devis d'expédition"
"Requested information","Commentaire avec le produit"
"Request for Quote","Demande de devis"
"Request information","Remarques avec ce produit"
"Request quote","Envoyer demande"
"Resubmit Quote","Renvoyer le devis"
"SKU","SKU"
"STATUS_AUTO_PROPOSAL","Devis envoyé"
"STATUS_BEGIN","Démarré"
"STATUS_CANCELED","Devis annulé"
"STATUS_CONFIRMED","Devis accepté"
"STATUS_DENIED","Devis refusé"
"STATUS_PROPOSAL","Devis envoyé"
"STATUS_PROPOSAL_BEGIN","Proposal created, not sent"
"STATUS_PROPOSAL_EXPIRED","Devis expiré"
"STATUS_PROPOSAL_SAVED","Devis sauvegardé"
"STATUS_REQUEST","En traitement"
"STATUS_REQUEST_EXPIRED","Demande expirée"
"Save Quote","Save Quote"
"Select one Qty per product. (When editing this product you will be able to re-enter the extra tiers in this screen.)","Select one Qty per product. (When editing this product you will be able to re-enter the extra tiers in this screen.)"
"Shipping & Handling price per Item","Shipping & Handling price per Item"
"Shipping & Handling price varies.","Le prix varie selon la quantité, le délai et la destination."
"Shipping Address","Adresse de livraison"
"Shipping Method","Méthode de livraison"
"Shipping details","Détails de la livraison"
"Sku","SKU"
"State/Province","Etat/province"
"Status","Etat"
"Submit Quote","Submit Proposal"
"Subtotal","Subtotal"
"Subtotal Original (%s)","Subtotal Original (%s)"
"Tax","Tax"
"Telephone","Télephone"
"Thank you for your interest!","Merci pour votre intérêt !"
"The Cart2Quote template files are disabled.","The Cart2Quote template files are disabled."
"The following item will not be added to the quotation list if you continue:","The following item(s) will not be added to the quotation list if you continue:"
"This item will be removed from the list if you continue:","Les articles suivants vont être supprimé de la liste si vous continuez :"
"This order list contains items that cannot quoted.","La sélection contient des articles qui ne peuvent pas être demandés en devis."
"This quote list contains items that cannot ordered.","This quote list contains items that cannot ordered."
"Tier/Qty","Tier/Qty"
"Title","Title"
"To add item to the Quote mode <a href='%s'>log out</a> from Quote confirmation mode.","Pour ajouter un article à la demande de devis <a href='%s'>veuillez vous déconnecter</a> du mode de confirmation de devis."
"Unable to find item to save","Unable to find item to save"
"Unit price","Prix unitaire"
"Url","Url"
"View","View"
"View Quote","Visualiser devis"
"You're welcome to place a new Request for Quote","Vous êtes invités à placer une nouvelle demande"
"You are in a quote confirmation mode, <a href='%s'>log out</a>.","Vous êtes dans le mode de confirmation de devis, <a href='%s'>veuillez-vous déconnecter</a>."
"You have placed no quotes.","Vous n'avez pas encore de demandes de devis."
"You log out successfully from Quote confirmation mode.","Vous êtes bien déconnecté du mode de confirmation de devis."
"Your quote request # is: %s.","Your quote request # is: %s."
"Your quote request has been received","Votre demande de devis a bien été reçue."
"You will receive a quote confirmation email with a link to track progress.","Vous allez recevoir une confirmation de devis par email avec un lien pour rester informé sur la progression de votre demande."
"Zip/Postal Code","Code postale"
"in process...","in process..."
