"%s days","%s giorni"
"-- Remove Coupon --","-- Remove Coupon --"
"-- Select Coupon --","-- Select Coupon --"
"Account Information","Informazioni Account"
"Action","Azione"
"Action is blocked in quote confirmation mode","L'azione e' bloccata in modalità di conferma preventivo"
"Add Qty",""Aggiungi quantità""
"Add Selected Product(s) to Advanced Quote","Aggiungi I prodotti selezionati per il preventivo"
"Address","Indirizzo"
"Add to Cart","Aggiungi al carrello"
"Add to Quote","Aggiungi a Preventivo"
"Adjustment Quote (%s)","Adjustment Quote (%s)"
"All items were moved to cart successfully.","Tutti gli elementi sono stati spostati nel carrello!"
"Are you sure?","Sei sicuro?"
"Back to My Quotes","Torna ai miei preventivi"
"Be advised to enter your comments","Essere informati per inserire i tuoi commenti, le quantita' desiderate e dettagli solo quando hai finito lo shopping. Queste informazioni andranno perse quando si esce da questa schermata senza inviare la tua richiesta. Se hai già un account con noi, fai prima il login."
"Billing address wasn't added","Informazioni di fatturazione aggiunte"
"By deleting an item, you will create a new quote request. Do you want to do this?","Con l'eliminazione di un elemento, si creera' una nuova richiesta di preventivo. Vuoi procedere?"
"Can't remove item","Non puoi rimuovere l'elemento"
"Can't update quote list","Non puoi aggiornare il preventivo"
"Cancel","Cancella"
"Cancel Quote","cancella preventivo"
"Can not add client note request to the product.","Non e' possibile aggiungere le note richieste dal cliente."
"Can not add customer address.","Non e' possibile aggiungere l'indirizzo del cliente."
"Can not add one of the items to quote request.","Non si puo' aggiungere uno dei prodotti alla richiesta di preventivo"
"Cannot configure product.","Cannot configure product."
"Cannot update the item.","Cannot update the item."
"Change status","Cambia Stato"
"Checking..","controllo.."
"City","Citta'"
"Comment with Product","Commenti prodotto"
"Company","Azienda"
"Confirm and CheckOut","Conferma "
"Continue","Continua"
"Continue Shopping","Continua lo shopping"
"Copy to Quotation","Copia in preventivo"
"Copy to Quotation?","Copiare in preventivo?"
"Could not load Coupon Code","Could not load Coupon Code"
"Country","Paese"
"Create New Quote","Crea nuovo preventivo"
"Created On","Creato il"
"Customer Group","Gruppo cliente"
"Customer Name","Nome cliente"
"Customer email already exists. You should login <a href=%s>here</a>","email cliente gia' esistente. Devi effettuare il login <a href=%s>qui</a>"
"Date","Data"
"Date of Proposal","Data preventivo"
"Delete","Cancella"
"Discount (%s)","Discount (%s)"
"Do you have a general remark with your quote request?","Hai richieste da allegare alla tua richiesta di preventivo?"
"Edit","Edit"
"Edit Quote","Modifica preventivo"
