"%s days","%s日"
"%s is available for quotation in increments of %s only.","%s は見積内で %s 点ずつしかご利用いただけません。"
"-- Remove Coupon --","-- クーポンを削除 --"
"-- Select Coupon --","-- クーポンを選択 --"
"Account Information","アカウント情報"
"Action","アクション"
"Action is blocked in quote confirmation mode","見積依頼確認モードの設定によって操作はブロックされます。"
"Add","追加"
"Add Qty","希望個数の追加"
"Add Selected Product(s) to Advanced Quote","選択した商品を拡張見積に追加"
"Add new Qty","個数の追加"
"Address","住所"
"Add to Cart","カート追加"
"Add to Quote","見積に追加"
"Adjustment Quote","お値引き"
"Adjustment Quote (%s)","お値引き (%s)"
"Adjustment Quote (Incl. default Tax)","お値引き (税込)"
"All items were moved to cart successfully.","すべての商品をショッピングカートに移動しました。"
"Apply","適用"
"Are you sure?","よろしいですか？"
"Assigned To","アサイン先"
"Assigned to","担当者"
"Auto proposal","自動提案"
"Back to My Quotes","見積履歴に戻る"
"Be advised to enter your comments","コメントとご希望の数量、詳細のみが記録されます。 この情報はお見積情報を送信せずにこのページを離れると消去されます。もし既にアカウントをお持ちの場合は先にログインしてください。"
"Billing Address","ご連絡先住所"
"Billing Address is same as Shipping Address","ご連絡先住所は配送先住所と同じ"
"Billing address wasn't added","ごご連絡先住所は追加されませんでした"
"By deleting an item, you will create a new quote request. Do you want to do this?","アイテムを削除すると、新しい見積要求が作成されます。実行してもよろしいですか？"
"Can't remove item","商品を削除できません"
"Can't update quote list","見積依頼を更新できません。"
"Cancel","キャンセル"
"Cancel Quote","見積キャンセル"
"Can not add client note request to the product.","顧客ノートリクエストをこの商品に追加できませんでした。"
"Can not add customer address.","顧客住所を追加できませんでした。"
"Can not add one of the items to quote request.","商品のうち１つが見積依頼に追加できませんでした。"
"Cannot configure product.","商品のオプションを設定できません。"
"Cannot update the item.","商品を更新できません。"
"Change status","ステータス変更"
"Checking..","確認中.."
"City","市区町村"
"Clear Quote","見積一覧をクリアする"
"Comment with Product","商品とコメント"
"Company","会社名"
"Confirm and CheckOut","確認して購入"
"Continue","続ける"
"Continue Shopping","お買い物を続ける"
"Copy to Quotation","見積にコピー"
"Copy to Quotation?","見積にコピーしますか？"
"Cost Price","原価"
"Could not load Coupon Code","クーポンコードを読み込めません"
"Country","国"
"Coupon Code %s","クーポンコード %s"
"Create New Quote","見積新規作成"
"Create Order","注文作成"
"Created On","作成"
"Customer's email was undefined","顧客メールが未定義です。"
"Customer Group","顧客グループ"
"Customer Name","顧客名"
"Customer email already exists. You should login <a href=%s>here</a>","このメールアドレスは既に使用されています。<a href=%s>こちら</a>からログインしてください。"
"Customer not recognized for new quote","顧客未確認"
"Date","日付"
"Date of Proposal","提案日"
"Delete","削除"
"Discount","値引き"
"Discount (%s)","値引き (%s)"
"Do not notify customer","顧客に通知しない"
"Do you have a general remark with your quote request?","ご要望事項を入力ください。"
"Duplicate value entered","重複した値が入力されました"
"Edit","編集"
"Edit Quote","見積編集"
"Edit Request","要望編集"
"Edit products","商品編集"
"Email","メールアドレス"
"Email Address","メールアドレス"
"Email already exists","メールアドレスは既に使用されています"
"Email was sent to client","顧客にメール送信済"
"Enter Fixed Price","価格を入力"
"Enter Percentage","割引率を入力"
"Enter Quote Reduction","割引率を入力"
"Enter new Quote Subtotal","新しい見積小計を入力"
"Enter your destination to receive a shipping quotation. Unless otherwise specified, standard shipping is quoted.","見積を受け取る住所を指定してください。未指定の場合は標準の配送先が適用されます。"
"Excl. Tax","税別"
"Expiry Date","有効期限"
"File","ファイル"
"File Upload","ファイルアップロード"
"First Name","名"
"First save this Quotation","最初にこの見積を保存してください"
"Fixed Price Per Order","定額配送"
"Fixed Shipping & Handling price","定額配送料金"
"Follow Up","フォローアップ"
"Follow Up Date","フォローアップ"
"Follow up","フォローアップ"
"For front-end visibility of this module please switch Use Cart2Quote templates to Yes or adjust your custom theme files.","For front-end visibility of this module please switch 'Use Cart2Quote templates' to 'Yes' or adjust your custom theme files."
"General Comment","全般コメント"
"Incl. Tax","税込"
"Item %s wasn't moved to Shopping cart","%s はショッピングカートに移動できませんでした。"
"Item %s wasn't removed from Quote mode","%s は見積情報から削除できませんでした。"
"Item(s) were moved from Quote to Order mode successfully.","商品は見積情報からカートへ移動されました。"
"Item Manager","商品管理"
"Items Manager","商品管理"
"Items Quoted","見積依頼商品"
"Item was deleted successfully.","商品を削除しました。"
"Item was moved to cart successfully.","商品はカートから削除されました。"
"Item was moved to quote successfully.","商品は見積情報から削除されました。"
"Last Name","姓"
"Linked Orders","関連する注文"
"Linked Quote Request","関連する見積依頼"
"Margin (GP)","利益率"
"Minimum of one Qty is required","1つ以上の最小個数が必要です"
"Move to Shopping cart","ショッピングカートに移動"
"My Quote","見積依頼"
"My Quote (%s item)","見積依頼 (%s アイテム)"
"My Quote (%s items)","見積依頼 (%s アイテム)"
"My Quotes","見積依頼"
"No Items to display.","表示できるアイテムがありません。"
"No item in quote.","見積依頼リストに商品がありません。"
"Not visible for customers","顧客には表示されません"
"Original Price","通常売価"
"Per Item","商品ごとの価格"
"Please select required qty and check out online to see applicable price.","最低発注数を選択して、該当する価格をご確認ください。"
"Please specify product quantity.","商品の個数を指定してください。"
"Price","価格"
"Price Proposal","価格提案"
"Price_proposal_%s","価格提案_%s"
"Print Quote","見積印刷"
"Product","商品"
"Product %s successfully added to Quote Request","%s を見積もり依頼に追加しました"
"Product Information","商品情報"
"Product Name","商品名"
"Product image","商品画像"
"Product name","商品名"
"Proposal Valid Until: %s","見積期限: %s"
