store,categories,is_active,meta_title,meta_keywords,meta_description,include_in_menu,is_anchor,description
default,Products/Materials,1,,,,1,0,
default,Products/Materials/Wood Logs,1,,,,1,0,
default,Products/Materials/Engineered Wood & Boards,1,,,,1,0,
default,Products/Materials/Edge Band Material,1,,,,1,0,
default,Products/Materials/Mouldings,1,,,,1,0,
default,Products/Materials/Kiln Dried Lumber,1,,,,1,0,
default,Products/Materials/Decorative Wood Panels,1,,,,1,0,
default,Products/Materials/Doors,1,,,,1,0,
default,Products/Materials/Windows,1,,,,1,0,
default,Products/Materials/Door Skins,1,,,,1,0,
default,Products/Materials/Flooring,1,,,,1,0,
default,Products/Machinery,1,,,,1,0,
default,Products/Machinery/Chainsaw,1,,,,1,0,
default,Products/Machinery/Edge Bander Machines,1,,,,1,0,
default,Products/Machinery/Hot Press Machines,1,,,,1,0,
default,Products/Machinery/Hydraulic Cold Press,1,,,,1,0,
default,Products/Machinery/Multi Boring Machines,1,,,,1,0,
default,Products/Machinery/Multi Purpose Machines,1,,,,1,0,
default,Products/Machinery/Panel Saw Machines,1,,,,1,0,
default,Products/Machinery/Polishing & Buffing,1,,,,1,0,
default,Products/Machinery/Post Forming Machines,1,,,,1,0,
default,Products/Machinery/Router Machines,1,,,,1,0,
default,Products/Machinery/Thermo Forming Machines,1,,,,1,0,
default,"Products/Machinery/Trimmer, Buffer & End Cutting Machines",1,,,,1,0,
default,Products/Machinery/Vertical Spindle Moulder Machines,1,,,,1,0,
default,Products/Accessories,1,,,,1,0,
default,Products/Accessories/Adaptors,1,Adaptors,,,1,1,
default,Products/Accessories/Bearings,1,Bearings,,,1,1,
default,Products/Accessories/Bore Reducers,1,Bore Reducers,,,1,1,
default,Products/Accessories/Bushings,1,Bushings,,,1,1,
default,Products/Accessories/Chucks,1,Chucks,,,1,1,
default,Products/Accessories/Collets,1,Collets,,,1,1,
default,Products/Accessories/Countersinks,1,Countersinks,,,1,1,
default,Products/Accessories/LN Keys,1,LN Keys,,,1,1,
default,Products/Accessories/Wedges,1,Wedges,,,1,1,
default,Products/Fasteners,1,Fasteners,,,1,0,
default,Products/Fasteners/Clamping Nuts,1,Clamping Nuts,,,1,1,
default,Products/Fasteners/Screws,1,Screws,,,1,1,
default,Products/Fasteners/Staples,1,Staples,,,1,0,
