store,websites,attribute_set,type,category_ids,sku,has_options,name,meta_title,meta_description,thumbnail,url_key,url_path,options_container,image_label,small_image_label,country_of_manufacture,msrp_enabled,msrp_display_actual_price_type,kitnekaa_product_code,manufacturer_product_code,tools_construction,tools_tip_material,kitnekaa_manufacturer,seller,rbi_material_to_cut,rbi_coating,rbi_machine,rbi_inner_diameter_in_mm,rbi_radius_in_mm,rbi_diameter_in_mm,rbi_height_of_cut_in_mm,rbi_cutting_depth_in_mm,rbi_angle_in_degrees,rbi_length_in_mm,rbi_diameter_of_shank_in_mm,rbi_rotation,rbi_application,price,special_price,weight,msrp,status,visibility,tax_class_id,description,short_description,meta_keyword,custom_layout_update,special_from_date,special_to_date,news_from_date,news_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,stock_status_changed_automatically,use_config_enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites,page_layout,gift_message_available,is_recurring,website,_media_image,_media_lable,_media_position,_media_is_disabled
admin,base,Router Bits,simple,101,912.701.11,0,Straight Bits,,,,912-701-11,912-701-11.html,Product Info Column,,,Italy,Use config,Use config,,912.701.11,Steel,Tungsten Carbide,CMT Utensili,Total Tools & Equipment (P) Ltd.,"Hardwood , Softwood",PTFE Coated,"Portable Router , Table Mounted Router",,,20,38.1,,,80,12,RH,"Slot, Grooving ",3996,3996,0.13,,Enabled,"Catalog, Search",None,"For Best Results When Working With Small Diameter Bits,Make The Cut In More Than One Pass.",Up-Cut Spiral Bit Solid HW D= 4X15X60 Z2 RH,,,9/7/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Straight Bits,0,simple,,,,,,,,,,
admin,base,Router Bits,simple,101,912.650.11,0,Straight Bits,,,,912-650-11,912-650-11.html,Product Info Column,,,Italy,Use config,Use config,,912.650.11,Steel,Tungsten Carbide,CMT Utensili,Total Tools & Equipment (P) Ltd.,"Hardwood , Softwood",PTFE Coated,"Portable Router , Table Mounted Router",,,15,31.7,,,70,12,RH,"Slot, Grooving ",3296.7,3296.7,0.1,,Enabled,"Catalog, Search",None,"For Best Results When Working With Small Diameter Bits,Make The Cut In More Than One Pass.",Up-Cut Spiral Bit Solid HW D= 4X15X60 Z2 RH,,,9/7/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Straight Bits,0,simple,,,,,,,,,,
admin,base,Router Bits,simple,101,912.622.11,0,Straight Bits,,,,912-622-11,912-622-11.html,Product Info Column,,,Italy,Use config,Use config,,912.622.11,Steel,Tungsten Carbide,CMT Utensili,Total Tools & Equipment (P) Ltd.,"Hardwood , Softwood",PTFE Coated,"Portable Router , Table Mounted Router",,,12,50.8,,,108,12,RH,"Slot, Grooving ",3762.9,3762.9,0.12,,Enabled,"Catalog, Search",None,"For Best Results When Working With Small Diameter Bits,Make The Cut In More Than One Pass.",Up-Cut Spiral Bit Solid HW D= 4X15X60 Z2 RH,,,9/7/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Straight Bits,0,simple,,,,,,,,,,
admin,base,Router Bits,simple,101,912.600.11,0,Straight Bits,,,,912-600-11,912-600-11.html,Product Info Column,,,Italy,Use config,Use config,,912.600.11,Steel,Tungsten Carbide,CMT Utensili,Total Tools & Equipment (P) Ltd.,"Hardwood , Softwood",PTFE Coated,"Portable Router , Table Mounted Router",,,10,31.7,,,74,12,RH,"Slot, Grooving ",3196.8,3196.8,0.1,,Enabled,"Catalog, Search",None,"For Best Results When Working With Small Diameter Bits,Make The Cut In More Than One Pass.",Up-Cut Spiral Bit Solid HW D= 4X15X60 Z2 RH,,,9/7/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Straight Bits,0,simple,,,,,,,,,,
admin,base,Router Bits,simple,101,912.100.11,0,Straight Bits,,,,912-100-11,912-100-11.html,Product Info Column,,,Italy,Use config,Use config,,912.100.11,Steel,Tungsten Carbide,CMT Utensili,Total Tools & Equipment (P) Ltd.,"Hardwood , Softwood",PTFE Coated,"Portable Router , Table Mounted Router",,,10,31.7,,,60,8,RH,"Slot, Grooving ",3130.2,3130.2,0.06,,Enabled,"Catalog, Search",None,"For Best Results When Working With Small Diameter Bits,Make The Cut In More Than One Pass.",Up-Cut Spiral Bit Solid HW D= 4X15X60 Z2 RH,,,9/7/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Straight Bits,0,simple,,,,,,,,,,
admin,base,Router Bits,simple,101,812.620.11,0,Straight Bits,,,,812-620-11,812-620-11.html,Product Info Column,,,Italy,Use config,Use config,,812.620.11,Steel,Tungsten Carbide,CMT Utensili,Total Tools & Equipment (P) Ltd.,"Hardwood , Softwood",PTFE Coated,"Portable Router , Table Mounted Router",,,12,31.7,,,70,12.7,RH,"Slot, Grooving ",3196.8,3196.8,0.1,,Enabled,"Catalog, Search",None,"For Best Results When Working With Small Diameter Bits,Make The Cut In More Than One Pass.",Up-Cut Spiral Bit Solid HW D= 4X15X60 Z2 RH,,,9/7/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Straight Bits,0,simple,,,,,,,,,,
admin,base,Router Bits,simple,101,712.060.11,0,Straight Bits,,,,712-060-11,712-060-11.html,Product Info Column,,,Italy,Use config,Use config,,712.060.11,Steel,Tungsten Carbide,CMT Utensili,Total Tools & Equipment (P) Ltd.,"Hardwood , Softwood",PTFE Coated,"Portable Router , Table Mounted Router",,,6,25.4,,,60,6,RH,"Slot, Grooving ",2919.3,2919.3,0.06,,Enabled,"Catalog, Search",None,"For Best Results When Working With Small Diameter Bits,Make The Cut In More Than One Pass.",Up-Cut Spiral Bit Solid HW D= 4X15X60 Z2 RH,,,9/7/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Straight Bits,0,simple,,,,,,,,,,
admin,base,Router Bits,simple,101,102.120.31,0,Mortising Bit,,,,102-120-31,102-120-31.html,Product Info Column,,,Italy,Use config,Use config,,102.120.31,Steel,Alloy,CMT Utensili,Total Tools & Equipment (P) Ltd.,"Hardwood , Softwood",PTFE Coated,Mortising Machine,,,12,80,,,135,16,RH,Cutting Mortise Slots ,2553,2553,0.13,,Enabled,"Catalog, Search",None,1. Long-Lasting Cutting Performance.</br> 2. 2HL Precision Ground Straight Cutting Edges With Chip-Breaker Teeth [Z2].,Up-Cut Spiral Bit Solid HW D= 4X15X60 Z2 RH,,,9/7/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Mortising Bit,0,simple,,,,,,,,,,
admin,base,Router Bits,simple,101,102.150.31,0,Mortising Bit,,,,102-150-31,102-150-31.html,Product Info Column,,,Italy,Use config,Use config,,102.150.31,Steel,Alloy,CMT Utensili,Total Tools & Equipment (P) Ltd.,"Hardwood , Softwood",PTFE Coated,Mortising Machine,,,15,95,,,150,16,RH,Cutting Mortise Slots ,3307.8,3307.8,0.17,,Enabled,"Catalog, Search",None,1. Long-Lasting Cutting Performance.</br> 2. 2HL Precision Ground Straight Cutting Edges With Chip-Breaker Teeth [Z2].,Up-Cut Spiral Bit Solid HW D= 4X15X60 Z2 RH,,,9/7/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Mortising Bit,0,simple,,,,,,,,,,
admin,base,Router Bits,simple,101,103.120.30,0,Reciprocating Slot Mort Bit,,,,103-120-30,103-120-30.html,Product Info Column,,,Italy,Use config,Use config,,103.120.30,Steel,Alloy,CMT Utensili,Total Tools & Equipment (P) Ltd.,"Hardwood , Softwood",No Coating,Mortising Machine,,,12,55,,,110,16,RH/LH,Cutting Mortise Slots ,2508.6,2508.6,0.12,,Enabled,"Catalog, Search",None,1. Long-Lasting Cutting Performance.</br> 2. 2HL Precision Ground Straight Cutting Edges With Chip-Breaker Teeth [Z2].,Up-Cut Spiral Bit Solid HW D= 4X15X60 Z2 RH,,,9/7/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Reciprocating Slot Mort Bit,0,simple,,,,,,,,,,
