store,websites,attribute_set,type,category_ids,sku,has_options,name,url_key,url_path,options_container,msrp_enabled,msrp_display_actual_price_type,kitnekaa_product_code,price_currency,manufacturer_product_code,country_of_origin,condition,minimum_order_quantity,minimum_order_unit,brand,tools_construction,tools_tip_material,kni_material_to_cut,kni_length_in_mm,kni_height_of_cut_in_mm,kni_thickness_in_mm,kni_angle_in_degrees,kitnekaa_manufacturer,seller,price,special_price,weight,status,visibility,tax_class_id,description,short_description,special_from_date,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,stock_status_changed_automatically,use_config_enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites,meta_title,meta_description,custom_design,page_layout,country_of_manufacture,gift_message_available,msrp,color,is_recurring,meta_keyword,custom_layout_update,special_to_date,news_from_date,news_to_date,custom_design_from,custom_design_to
admin,base,Knives,simple,99,790.483.12,0,Standard Reversible Knives 4 Cutting Edge,790-483-12,790-483-12.html,Product Info Column,Use config,Use config,,INR,790.483.12,Italy,New,10,Piece(s),CMT Utensili,,,"Hardwood , Softwood",48.3,12,1.5,35,CMT Utensili,Total Tools & Equipment (P) Ltd.,1609.5,1609.5,0.01,Enabled,"Catalog, Search",None,HWM-Knives 48.3X12X1.5 RH,HWM-Knives 48.3X12X1.5 RH,9/3/2015 0:00,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Standard Reversible Knives 4 Cutting Edge,0,simple,,,,,,,,,,,,,,,,,,
admin,base,Knives,simple,99,790.295.09,0,Standard Reversible Knives 4 Cutting Edge,790-295-09,790-295-09.html,Product Info Column,Use config,Use config,,INR,790.295.09,Italy,New,10,Piece(s),CMT Utensili,,,"Hardwood , Softwood",29.5,19,1.5,35,CMT Utensili,Total Tools & Equipment (P) Ltd.,876.9,876.9,0.01,Enabled,"Catalog, Search",None,HWM-Knives 29.5X9X1.5,HWM-Knives 29.5X9X1.5,9/3/2015 0:00,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Standard Reversible Knives 4 Cutting Edge,0,simple,,,,,,,,,,,,,,,,,,
admin,base,Knives,simple,99,790.181.00,0,Standard Reversible Knives 4 Cutting Edge,790-181-00,790-181-00.html,Product Info Column,Use config,Use config,,INR,790.181.00,Italy,New,10,Piece(s),CMT Utensili,,,"Hardwood , Softwood",18,18,1.95,0,CMT Utensili,Total Tools & Equipment (P) Ltd.,1098.9,1098.9,0.01,Enabled,"Catalog, Search",None,HW-HC Standard Replaceable Knives (4 CUTTING EDGES)  18X18X2MM,HW-HC Standard Replaceable Knives (4 CUTTING EDGES)  18X18X2MM,9/3/2015 0:00,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Standard Reversible Knives 4 Cutting Edge,0,simple,,,,,,No layout updates, ,No,,,No,,,,,,,
admin,base,Knives,simple,99,790.140.10,0,Standard Reversible Knives 4 Cutting Edge,790-140-10,790-140-10.html,Product Info Column,Use config,Use config,,INR,790.140.10,Italy,New,10,Piece(s),CMT Utensili,,,"Hardwood , Softwood",14,14,1.2,30,CMT Utensili,Total Tools & Equipment (P) Ltd.,466.2,466.2,0.01,Enabled,"Catalog, Search",None,HW-HC Reversible Knives Straight (4/30) 14X14X1.2mm,HW-HC Reversible Knives Straight (4/30) 14X14X1.2mm,9/3/2015 0:00,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Standard Reversible Knives 4 Cutting Edge,0,simple,,,,,,,,,,,,,,,,,,
admin,base,Knives,simple,99,104062,0,Square Knives,104062,104062.html,Product Info Column,Use config,Use config,,INR,104062,Germany,New,10,Piece(s),Tigra,Steel,,"Hardwood , Softwood",15,15,2.5,37,Tigra,Total Tools & Equipment (P) Ltd.,,,,Enabled,"Catalog, Search",None,HM-WP 15X15X2.5 T10MG,HM-WP 15X15X2.5,9/3/2015 0:00,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Square Knives,0,simple,,,,,,,,,,,,,,,,,,
admin,base,Knives,simple,99,106822,0,Standard Reversible Knives,106822,106822.html,Product Info Column,Use config,Use config,,INR,106822,Germany,New,10,Piece(s),Tigra,Steel,,"Chipboard , Hardwood , MDF , Plastic",7.5,12,1.5,35,Tigra,Total Tools & Equipment (P) Ltd.,,,,Enabled,"Catalog, Search",None,HM-WP 7.5X12X1.5 T04MG-CR,HM-WP 7.5X12X1.5,9/3/2015 0:00,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Standard Reversible Knives,0,simple,,,,,,,,,,,,,,,,,,
admin,base,Knives,simple,99,106828,0,Standard Reversible Knives,106828,106828.html,Product Info Column,Use config,Use config,,INR,106828,Germany,New,10,Piece(s),Tigra,Steel,,"Chipboard , Hardwood , MDF , Plastic",40,12,1.5,35,Tigra,Total Tools & Equipment (P) Ltd.,,,,Enabled,"Catalog, Search",None,HM-WP 40X12X1.5 d4 a26 T04MG-CR,HM-WP 40X12X1.5 d4 a26,9/3/2015 0:00,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Standard Reversible Knives,0,simple,,,,,,,,,,,,,,,,,,
admin,base,Knives,simple,99,12002,0,Square Knives,12002,12002.html,Product Info Column,Use config,Use config,,INR,12002,Germany,New,10,Piece(s),Tigra,Steel,,"Chipboard , Hardwood , MDF , Plastic , Softwood",12,12,1.5,35,Tigra,Total Tools & Equipment (P) Ltd.,,,,Enabled,"Catalog, Search",None,HM-WP 12X12X1.5 T04F,HM-WP 12X12X1.5,9/3/2015 0:00,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Square Knives,0,simple,,,,,,,,,,,,,,,,,,
admin,base,Knives,simple,99,12004,0,Carbide Saw Tips For Circular Saws,12004,12004.html,Product Info Column,Use config,Use config,,INR,12004,Germany,New,10,Piece(s),Tigra,Steel,,"Chipboard , Hardwood , MDF , Plastic , Softwood",20,12,1.5,35,Tigra,Total Tools & Equipment (P) Ltd.,,,,Enabled,"Catalog, Search",None,HM-WP 20X12X1.5 T04F,HM-WP 20X12X1.5,9/3/2015 0:00,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Carbide Saw Tips For Circular Saws,0,simple,,,,,,,,,,,,,,,,,,
admin,base,Knives,simple,99,12006,0,Standard Reversible Knives,12006,12006.html,Product Info Column,Use config,Use config,,INR,12006,Germany,New,10,Piece(s),Tigra,Steel,,"Chipboard , Hardwood , MDF , Plastic , Softwood",50,12,1.5,35,Tigra,Total Tools & Equipment (P) Ltd.,,,,Enabled,"Catalog, Search",None,HM-WP 50X12X1.5 a26 T04F,HM-WP 50X12X1.5 a26,9/3/2015 0:00,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Standard Reversible Knives,0,simple,,,,,,,,,,,,,,,,,,
