"Download Labels","Download Labels"
ID,ID
"Created At","Created At"
Title,Title
Vendor,Vendor
"Label Type","Label Type"
"# of Shipments","# of Shipments"
Action,Action
"Label Batches","Label Batches"
"Shipment #","Shipment #"
"Date Shipped","Date Shipped"
"Total Qty","Total Qty"
"Shipping Price","Shipping Price"
Status,Status
Method,Method
"Order #","Order #"
"Order Date","Order Date"
"Order Status","Order Status"
"Order Total","Order Total"
"$poStr #","$poStr #"
"$poStr Date","$poStr Date"
"$poStr Status","$poStr Status"
"$poStr Subtotal","$poStr Subtotal"
"$poStr Total Cost","$poStr Total Cost"
"$poStr Tax Amount","$poStr Tax Amount"
"$poStr Shipping Price","$poStr Shipping Price"
"$poStr Total Qty","$poStr Total Qty"
"Tracking #","Tracking #"
"Tracking Total","Tracking Total"
"Tax State","Tax State"
"Order coupon codes","Order coupon codes"
CSV,CSV
XML,XML
"Dropship ","Dropship "
"PO #","PO #"
"PO Date","PO Date"
"PO Status","PO Status"
"PO Shipping Price","PO Shipping Price"
"PO Item SKU","PO Item SKU"
"PO Item Name","PO Item Name"
"PO Item Price","PO Item Price"
"PO Item Discount","PO Item Discount"
"PO Item Cost","PO Item Cost"
"PO Item Qty","PO Item Qty"
"PO Item Tax","PO Item Tax"
"PO Item Row Total","PO Item Row Total"
"Dropship Item Details Report","Dropship Item Details Report"
"Ship to Name","Ship to Name"
"Ship to First name","Ship to First name"
"Ship to Last name","Ship to Last name"
"Statement Ready At","Statement Ready At"
View,View
"Resend PO Notifications","Resend PO Notifications"
"Mark as shipped","Mark as shipped"
"Shipping Info","Shipping Info"
"Shipping Method Code","Shipping Method Code"
"Shipping Method Title","Shipping Method Title"
"Days In Transit","Days In Transit"
Websites,Websites
"Associated System Methods","Associated System Methods"
"* Not used","* Not used"
"* Any available","* Any available"
Titles,Titles
"Default Title","Default Title"
"Default Title for All Store Views","Default Title for All Store Views"
"Store View Specific Title","Store View Specific Title"
"Manage Shipping","Manage Shipping"
"Shipping Information","Shipping Information"
"Save Shipping Method","Save Shipping Method"
"Delete Shipping Method","Delete Shipping Method"
"Edit Method '%s","Edit Method '%s"
"New Method","New Method"
"All websites","All websites"
"Method Code","Method Code"
"Method Title","Method Title"
Website,Website
"System Methods","System Methods"
Delete,Delete
"Are you sure?","Are you sure?"
"Manage Shipping Methods","Manage Shipping Methods"
"Add New Shipping Method","Add New Shipping Method"
"Select Category","Select Category"
"Add Carrier","Add Carrier"
"Custom Vendor Information","Custom Vendor Information"
"Custom Data","Custom Data"
"
Enter custom data for this vendor.<br/>
Each part should start with:<br/>
<pre>===== part_name =====</pre><br/>
Parts can be referenced from product template like this:
<xmp>
<?php echo Mage::helper('udropship')
  ->getVendor(\$_product)
    ->getData('part_name')?>
</xmp>
","
Enter custom data for this vendor.<br/>
Each part should start with:<br/>
<pre>===== part_name =====</pre><br/>
Parts can be referenced from product template like this:
<xmp>
<?php echo Mage::helper('udropship')
  ->getVendor(\$_product)
    ->getData('part_name')?>
</xmp>
"
"Vendor Info","Vendor Info"
"Vendor Name","Vendor Name"
"Membership Profile","Membership Profile"
"* Please select","* Please select"
Membership,Membership
"Allow Microsite","Allow Microsite"
"Limit Products","Limit Products"
"Billing Type","Billing Type"
"DO NOT Automatically synchronize status with profile","DO NOT Automatically synchronize status with profile"
"Reject Reason","Reject Reason"
"Send Reject Email","Send Reject Email"
"Resend Confirmation Email","Resend Confirmation Email"
"Send Confirmation Email","Send Confirmation Email"
"Resending confirmation email will reset password (revoke old one). New password will be sent to vendor in separate email once he click at the link in this confirmation email.","Resending confirmation email will reset password (revoke old one). New password will be sent to vendor in separate email once he click at the link in this confirmation email."
"Send Confirmation Email. Password will be sent to vendor in separate email once he click at the link in this confirmation email.","Send Confirmation Email. Password will be sent to vendor in separate email once he click at the link in this confirmation email."
"Waiting for email confirmation","Waiting for email confirmation"
No,No
Yes,Yes
"Preferred Carrier","Preferred Carrier"
"Use Rates Fallback Chain","Use Rates Fallback Chain"
"Will try to find available estimate rate for dropship shipping methods in order <br>1. Estimate Carrier <br>2. Override Carrier <br>3. Default Carrier","Will try to find available estimate rate for dropship shipping methods in order <br>1. Estimate Carrier <br>2. Override Carrier <br>3. Default Carrier"
"Vendor Email","Vendor Email"
"Email is also used as username","Email is also used as username"
"New Password","New Password"
"Leave empty for no change","Leave empty for no change"
"Log In Password","Log In Password"
"Login disabled if empty","Login disabled if empty"
"Vendor Telephone","Vendor Telephone"
"Phone number is required for FedEx label printing","Phone number is required for FedEx label printing"
"Vendor Fax","Vendor Fax"
"Use Default Configuration","Use Default Configuration"
"Notification Template","Notification Template"
"Allow shipping extra charge","Allow shipping extra charge"
"Default shipping extra charge suffix","Default shipping extra charge suffix"
"Default shipping extra charge type","Default shipping extra charge type"
"Default shipping extra charge","Default shipping extra charge"
"Is extra charge shipping default","Is extra charge shipping default"
"URL friendly identifier","URL friendly identifier"
"Please select state...","Please select state..."
"Shipping Origin Address","Shipping Origin Address"
"Attention To","Attention To"
Street,Street
City,City
"Zip / Postal code","Zip / Postal code"
Country,Country
"Please select Country","Please select Country"
State,State
"Please select State","Please select State"
"Billing Address","Billing Address"
"Same as Shipping","Same as Shipping"
